time,vehicle_id,x,y
3002,1288,-1.6,18.9
3245,1375,38.93,-1.6
1813,777,-1.6,163.49
2929,1224,124.78,-1.6
2827,1224,-4.8,353.84
3147,1368,-4.8,484.89
1858,777,-1.6,33.9
2979,1294,-4.8,475.16
2614,1081,122.23,-1.6
633,262,-1.6,152.09
79,26,-1.6,277.55
1384,572,454.21,-1.6
2622,1127,-1.6,48.44
338,122,-1.6,11.4
1505,640,-1.6,65.7
2326,992,-1.6,18.92
3408,1448,-1.6,11.4
677,273,-1.6,18.9
3160,1329,280.03,-1.6
2119,889,486.04,-1.6
306,109,158.76,-1.6
1244,538,-4.8,439.14
2958,1237,399.01,-4.8
1248,538,-1.6,379.54
2033,861,-1.6,18.9
1364,547,218.07,-4.8
1204,499,-1.6,11.4
1377,538,485.86,-4.8
2492,1077,-1.6,317.33
2505,1077,-1.6,156.98
2403,991,105.09,-1.6
2596,1084,-1.6,18.9
3149,1348,88.45,-1.6
1814,759,-1.6,11.4
2107,914,-4.8,456.47
2623,1127,-1.6,32.42
597,249,-1.6,241.72
660,249,482.4,-4.8
535,214,-1.6,11.4
2713,1133,15.77,-1.6
1287,547,-1.6,141.66
3025,1294,-1.6,33.25
2916,1237,-1.6,26.4
2908,1252,-1.6,77.28
412,132,126.93,-1.6
3595,1517,481.62,-4.8
480,205,-4.8,426.17
2491,1066,-1.6,26.4
2366,1028,-4.8,483.85
3212,1373,-1.6,26.4
1305,547,-1.6,18.9
3273,1375,389.1,-1.6
2467,1069,-1.6,389.94
1037,410,86.81,-1.6
504,214,-4.8,366.32
1541,648,-1.6,18.9
2075,861,-1.6,18.9
3591,1541,-1.6,11.4
808,334,-1.6,41.53
1594,648,415.5,-4.8
2541,1084,-1.6,18.9
2523,1077,49.06,-1.6
624,262,-1.6,265.33
2438,1045,-1.6,110.51
969,410,-1.6,217.28
3387,1448,-1.6,11.4
1774,751,-0.97,6.02
1260,527,13.43,-1.6
2889,1252,-4.8,359.78
1752,734,-1.6,33.9
2095,887,152.03,-1.6
2037,860,-1.6,11.4
1899,769,310.67,-1.6
2285,973,-1.6,41.41
1350,572,-1.6,27.12
516,221,-4.8,427.63
293,122,-4.8,379.71
868,371,-4.8,341.86
362,138,-1.6,26.41
