time,vehicle_id,x,y
2589,1099,-1.6,26.4
2424,992,315.87,-4.8
3172,1348,373.47,-4.8
3580,1517,312.2,-4.8
2817,1185,36.08,-1.6
3472,1448,392.91,-4.8
2423,991,362.19,-4.8
3370,1436,342.15,-1.6
269,109,-4.8,314.46
1823,761,-1.6,18.9
1973,830,-1.6,17.12
2620,1081,203.11,-4.8
2380,992,-1.6,18.9
2388,1000,-1.6,26.4
2529,1077,123.02,-1.6
3012,1294,-1.6,33.9
2679,1127,-1.6,11.22
3059,1329,-4.8,465.09
2543,1077,298.35,-4.8
1211,499,-1.6,11.4
631,249,139.06,-4.8
3041,1294,129.3,-1.6
325,132,-1.6,233.19
839,322,226.4,-4.8
2168,919,-1.6,26.4
318,132,-4.8,337.1
3046,1288,269.36,-4.8
3570,1512,285.28,-4.8
2955,1268,-1.6,11.4
1776,727,135.34,-4.8
2724,1185,-4.8,493.24
1804,751,395.13,-1.6
2626,1084,270.19,-1.6
1707,733,-1.6,246.78
3518,1517,-1.6,168.49
2073,890,-1.6,170.65
1808,734,467.3,-4.8
2701,1157,-1.6,26.23
2675,1157,-1.6,310.98
2096,900,-1.6,183.81
1864,761,-1.6,18.9
833,332,86.48,-1.6
2096,860,231.61,-1.6
1240,538,-4.8,481.58
3267,1360,421.25,-1.6
3492,1517,-4.8,459.26
2404,1045,-4.8,489.54
2413,1045,-4.8,402.35
2151,914,-1.6,18.9
3001,1268,-1.6,11.4
888,371,-1.6,77.46
2323,973,325.05,-4.8
3190,1375,-1.6,154.37
2423,1028,249.32,-1.6
668,273,-1.6,22.34
2568,1099,-1.6,26.41
2551,1077,395.92,-4.8
1179,499,-1.6,56.16
2181,900,-1.6,11.4
2964,1288,-4.8,476.64
3103,1311,-1.6,11.4
652,273,-1.6,222.46
2560,1084,-1.6,18.9
2094,890,79.06,-1.6
1688,734,-4.8,494.9
3547,1512,-1.53,9.91
742,262,348.51,-4.8
371,157,-4.8,392.93
2412,1045,-4.8,414.18
2142,914,-1.6,27.32
3597,1541,-1.6,11.4
610,238,-1.6,32.82
906,362,-1.6,11.4
912,362,-1.6,11.4
3234,1368,-1.6,14.97
523,221,-4.8,331.48
1572,640,231.4,-4.8
2041,861,-1.6,18.9
2000,860,-1.6,202.45
917,362,-1.6,11.4
2417,1028,172.39,-1.6
2637,1133,-1.6,105.68
2837,1224,-1.6,220.07
2991,1268,-1.6,11.4
2195,914,97.08,-1.6
3496,1517,-4.8,413.17
847,362,-4.8,331.82
1063,454,-4.8,314.54
1161,499,-1.6,329.35
1185,511,-4.8,396.65
2117,889,455.04,-1.6
2000,830,319.77,-4.8
1685,733,-4.8,494.9
3101,1311,-1.6,11.4
2521,1067,142.46,-4.8
3534,1517,-1.6,18.91
2945,1252,261.49,-1.6
2840,1185,330.59,-4.8
3570,1541,-1.6,158.28
2043,861,-1.6,18.9
2941,1258,103.84,-1.6
3061,1329,-4.8,445.24
2207,950,-1.6,237.71
3257,1373,214.42,-1.6
2917,1258,-1.6,194.18
1105,454,-1.6,11.4
3063,1302,370.36,-4.8
2395,991,8.23,-1.29
2277,984,-1.6,323.58
2565,1084,-1.6,18.9
823,332,-1.6,18.33
2683,1157,-1.6,198.22
3569,1517,187.29,-1.6
371,122,-1.6,11.4
2201,900,210.36,-4.8
3245,1382,17.98,-1.6
2533,1081,-1.6,11.4
2341,992,-1.6,18.9
1841,761,-1.6,18.9
2905,1255,-1.6,261.09
911,382,-1.6,72
2538,1077,234.5,-4.8
3321,1435,-1.6,240.51
1274,527,170.16,-4.8
2797,1209,-1.6,303.1
892,362,-1.6,11.4
2573,1084,-1.6,18.9
1235,527,-1.6,257.34
759,322,-1.6,286.57
932,362,99.87,-1.6
269,111,-4.8,363.81
331,109,487.04,-4.8
93,26,-1.6,90.28
2302,992,-1.6,279.83
508,205,-1.6,27.76
1460,597,152.87,-1.6
3102,1311,-1.6,11.4
595,249,-1.6,264.69
924,362,3.58,0.09
2727,1157,170.83,-1.6
613,262,-4.8,401.35
2498,1084,-4.8,434.05
377,132,-1.6,18.9
2698,1133,-1.6,18.73
1790,733,282.07,-1.6
2404,992,78.58,-1.6
700,302,-4.8,453.5
1946,835,-1.6,161.76
1499,648,-4.8,409.28
2582,1081,-1.6,11.4
3236,1368,0.26,3.3
1996,835,237.08,-1.6
2040,860,-1.6,11.4
3065,1329,-4.8,404.14
105,23,108.33,-1.6
907,371,-1.6,18.9
3371,1435,355.45,-4.8
2883,1237,-1.6,68.28
3273,1373,410.57,-1.6
2659,1157,-4.8,494.9
2549,1099,-1.6,223.22
638,273,-4.8,400.72
3254,1413,-4.8,443.74
2062,887,-1.6,191.52
2770,1185,-1.6,11.4
3057,1329,-4.8,483.4
3345,1448,-1.6,297.56
603,214,-1.6,11.4
2419,1011,220.36,-1.6
2012,860,-1.6,27.54
3100,1311,-1.6,11.4
2440,1011,489.57,-1.6
2428,1011,334.69,-1.6
1314,547,-1.6,18.9
635,249,186.73,-4.8
584,238,-1.6,33.97
3488,1517,-4.8,489.28
720,262,72.04,-1.6
1074,435,390.1,-4.8
2606,1099,-1.6,17.92
3173,1348,385.59,-4.8
3210,1360,-1.6,11.4
3094,1329,-1.6,109.34
1323,538,-1.6,11.4
267,111,-4.8,388.6
1754,727,-1.6,11.4
1752,759,-4.8,443.97
3507,1512,-1.6,74.81
1997,861,-1.6,303.23
2763,1185,-1.6,20.83
1746,733,-1.6,26.4
2911,1237,-1.6,26.4
2332,991,-1.6,11.4
2071,861,-1.6,18.9
1583,640,383.55,-4.8
349,138,-1.6,132.79
2550,1067,474.08,-4.8
2620,1084,179.07,-1.6
69,26,-4.8,411.69
1950,835,-1.6,106.35
70,23,-4.8,315.86
2739,1157,338.57,-1.6
3144,1348,26.67,-1.6
2324,992,-1.6,22.3
740,322,-4.8,494.9
2992,1302,-4.8,494.9
2950,1252,334.66,-1.6
1085,454,-1.6,79.26
754,262,498.22,-4.8
2074,887,-1.6,26.81
3341,1413,18.45,-1.6
2619,1127,-1.6,95.72
3193,1373,-1.6,66.66
2193,914,72.46,-1.6
2332,973,443.66,-4.8
3041,1302,86.44,-1.6
2939,1237,175.09,-4.8
2218,919,428.62,-1.6
63,26,-4.8,481.94
1152,454,184.2,-4.8
2536,1081,-1.6,11.4
3351,1448,-1.6,212.38
3315,1435,-4.8,315.45
419,157,152.11,-1.6
1409,597,-1.6,11.44
2170,919,-1.6,26.4
3001,1302,-4.8,413.13
1878,777,27.75,-1.6
2217,900,415.2,-4.8
2533,1077,173.01,-4.8
1802,761,-1.6,18.9
2311,1000,-1.6,346.71
2347,992,-1.6,18.9
2909,1252,-1.6,61.93
3057,1294,381.31,-1.6
2113,889,395.27,-1.6
3164,1375,-4.8,477.66
719,273,25.99,-1.6
1323,572,-4.8,423.29
1755,761,-4.8,453.54
1726,751,-4.8,494.9
2041,887,-4.8,490.48
326,122,-1.6,11.44
1820,759,-1.6,11.4
370,138,-1.6,26.4
2336,991,-1.6,11.4
2114,889,409.67,-1.6
381,122,-1.6,11.4
2332,992,-1.6,18.9
2752,1185,-1.6,160.26
2613,1099,54.45,-1.6
751,322,-4.8,388.6
2788,1185,-1.6,11.4
2278,984,-1.6,308.65
819,334,-1.6,41.41
3181,1329,493.45,-1.6
400,132,-1.51,9.75
3191,1360,-1.6,11.4
2525,1077,73.76,-1.6
69,23,-4.8,328.12
384,138,-1.6,26.4
582,221,-1.6,18.9
2125,914,-1.6,235.73
814,332,-1.6,33.9
377,138,-1.6,26.4
2180,919,-1.6,26.4
2426,991,401.48,-4.8
3477,1448,464.91,-4.8
1902,777,333.88,-4.8
1876,777,6.34,-1.02
2318,1000,-1.6,241.03
2727,1185,-4.8,475.83
2906,1258,-1.6,335.14
3006,1290,-1.6,26.42
2534,1084,-1.6,18.9
1980,830,44.75,-1.6
2468,1045,-1.6,11.4
2295,992,-4.8,362.63
364,132,-1.6,18.9
122,23,320.23,-4.8
3252,1360,225.03,-1.6
2476,1066,-1.6,161.94
2464,1066,-1.6,341.61
2956,1255,369.97,-1.6
2068,887,-1.6,96.58
3126,1329,-1.6,18.9
556,221,-1.6,18.9
1377,572,352.14,-1.6
602,221,-1.6,18.9
915,371,-1.6,18.9
1153,499,-4.8,450.34
2576,1099,-1.6,26.4
1256,499,246.22,-1.6
880,362,-1.6,11.4
3205,1373,-1.6,26.4
3353,1435,134.54,-1.6
2959,1268,-1.6,11.4
820,322,-0.88,5.39
349,132,-1.6,18.9
2059,861,-1.6,18.9
1928,835,-4.8,414.38
1261,511,249.45,-4.8
3374,1448,-1.6,11.4
1886,769,153.44,-1.6
3038,1311,-1.6,267.22
2597,1127,-4.8,440.17
333,111,435.09,-4.8
2981,1288,-1.6,244.63
520,214,-1.6,127.47
3174,1375,-4.8,354.76
2761,1185,-1.6,44.18
1267,547,-4.8,396.96
3393,1448,-1.6,11.4
3167,1311,373.86,-4.8
798,334,-1.6,144.23
424,132,307.5,-1.6
2844,1210,252.57,-1.6
1786,734,187.95,-4.8
1553,640,-0.96,5.93
286,109,-1.6,87.69
2601,1084,-1.6,18.9
3293,1413,-1.6,11.4
2954,1255,343,-1.6
2962,1237,445.37,-4.8
1931,835,-4.8,372.14
785,334,-1.6,314.17
1573,648,182.1,-4.8
2825,1185,138.82,-1.6
2946,1252,276.27,-1.6
3253,1368,182.24,-4.8
3036,1302,22.37,-1.6
752,273,448.88,-4.8
1876,761,50.95,-1.6
2918,1268,-4.8,476.58
3211,1375,-1.6,33.9
650,262,-1.6,11.41
2273,984,-4.8,384.27
3453,1448,119.83,-1.6
909,371,-1.6,18.9
134,26,448.86,-1.6
3311,1413,-1.6,11.4
2638,1133,-1.6,93.02
2592,1084,-1.6,18.9
582,214,-1.6,11.4
1210,499,-1.6,11.4
1896,761,296.53,-1.6
2885,1252,-4.8,420.01
2097,890,119.77,-1.6
1272,527,147.18,-4.8
2953,1224,443.72,-4.8
1155,499,-4.8,420.76
2820,1185,73.98,-1.6
2338,991,-1.6,11.4
3213,1375,-1.6,33.9
3125,1329,-1.6,18.9
2521,1084,-1.6,90.81
1734,733,-1.6,26.4
2501,1084,-4.8,388.96
1821,761,-1.6,18.9
3238,1360,40.38,-1.6
1080,435,467.15,-4.8
1863,769,-1.6,26.4
1280,527,237.73,-4.8
2333,984,471.24,-4.8
388,122,-1.6,11.4
381,157,-1.6,250.86
1268,511,341.86,-4.8
3532,1517,-1.6,21.07
1752,727,-1.6,11.4
698,273,-1.6,18.9
1420,597,-1.6,11.4
3529,1512,-1.6,11.4
1375,597,-4.8,482.72
2114,914,-4.8,369.24
2893,1224,-1.6,11.4
2935,1258,27.61,-1.6
372,157,-4.8,379.03
2462,1066,-4.8,371.87
499,214,-4.8,441.14
1696,733,-4.8,392.03
746,302,153.04,-1.6
703,302,-4.8,413.82
3381,1448,-1.6,11.4
